"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21805","Demo get by role","chromium","2026-03-26","passed","2026-03-26","Get by role test","getbyrole.spec.ts","",""
"","3109","Login with username=Admin => success","chromium","2026-03-26","passed","2026-03-26","Login test with data provider","login.spec.ts","",""
"","5733","Login with username=Admin => failed","chromium","2026-03-26","passed","2026-03-26","Login test with data provider","login.spec.ts","",""
"","11492","TC1: Filter admin user","chromium","2026-03-26","passed","2026-03-26","TC: Admin page test","admin.spec.ts","",""
"","277","has title","chromium","2026-03-26","passed","2026-03-26","","example.spec.ts","",""
"","19979","TC1: Upload avatar","chromium","2026-03-26","passed","2026-03-26","My info test","myinfo.spec.ts","",""
"","3172","Test login thành công","chromium","2026-03-26","passed","2026-03-26","Login tests","login.spec.ts","",""
"","415","get started link","chromium","2026-03-26","passed","2026-03-26","","example.spec.ts","",""
"","5743","Login with username=Admin1 => failed","chromium","2026-03-26","passed","2026-03-26","Login test with data provider","login.spec.ts","",""
"","6134","Verify sidebar menu names","chromium","2026-03-26","passed","2026-03-26","Home page tests","home.spec.ts","",""
